,mean,sd,z,p_2sided
Intercept,-0.4847815146502071,0.0775306471991417,-6.252772705547254,4.032287836963633e-10
sc_sampling,-0.1961980739494968,0.0781354877693073,-2.51099826149119,0.0120390289869105
sc_TEI_bs,0.3874279101742325,0.0805880025734149,4.807513498318675,1.5281910366038431e-06
sc_TEI_delta,0.3466720035530307,0.0788805088558443,4.394900699570541,1.108234019975285e-05
sc_TEI_bs:sc_TEI_delta,0.0596688779565397,0.0716344169271768,0.8329638254360163,0.404865131330413
sc_PEI_bs,0.1716540567879479,0.0775133964763339,2.2145082603928543,0.0267938351042076
sc_PEI_delta,-0.3018808372985163,0.0767952957195204,-3.930980855924771,8.460000900734066e-05
sc_PEI_bs:sc_PEI_delta,0.0467807724928112,0.074345969744605,0.6292307794694668,0.5291979809514111
sc_TEI_bs:sc_PEI_bs,0.0952084833266284,0.0740085709972532,1.2864521236352748,0.1982853173450256
sc_TEI_delta:sc_PEI_delta,-0.3178147926798657,0.0735604072344211,-4.32045994072679,1.5570432160050274e-05
